Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
Consistency_Entropy,Consistency,Entropy,66.0,77.0,76.0,69.0,77.0,73.0,77.0,80.0,78.0,80.0,85.0
Consistency_Entropy,Consistency,Entropy,66.0,65.0,77.0,73.0,71.0,79.0,79.0,81.0,80.0,80.0,82.0
Entropy_Entropy,Entropy,Entropy,51.0,51.0,64.0,66.0,70.0,69.0,72.0,72.0,80.0,81.0,80.0
Entropy_Entropy,Entropy,Entropy,51.0,50.0,56.99999999999999,70.0,71.0,70.0,72.0,74.0,76.0,77.0,76.0
Entropy_Entropy,Entropy,Entropy,51.0,52.0,59.0,67.0,67.0,73.0,78.0,80.0,81.0,83.0,80.0
Entropy_Entropy,Entropy,Entropy,51.0,55.00000000000001,50.0,62.0,63.0,66.0,69.0,71.0,68.0,74.0,75.0
Entropy_Entropy,Entropy,Entropy,51.0,55.00000000000001,56.99999999999999,54.0,56.99999999999999,59.0,57.99999999999999,61.0,60.0,63.0,64.0
Margin_Entropy,Margin,Entropy,67.0,71.0,77.0,74.0,75.0,74.0,74.0,77.0,77.0,77.0,75.0
Margin_Entropy,Margin,Entropy,67.0,74.0,78.0,74.0,80.0,83.0,83.0,79.0,80.0,83.0,79.0
Margin_Entropy,Margin,Entropy,67.0,73.0,72.0,73.0,74.0,71.0,71.0,71.0,73.0,66.0,72.0
Margin_Entropy,Margin,Entropy,67.0,69.0,74.0,72.0,73.0,72.0,75.0,77.0,77.0,80.0,79.0
Margin_Entropy,Margin,Entropy,67.0,69.0,73.0,72.0,79.0,78.0,75.0,79.0,83.0,82.0,84.0
BALD_Entropy,BALD,Entropy,43.0,55.00000000000001,51.0,51.0,55.00000000000001,56.00000000000001,66.0,57.99999999999999,59.0,64.0,63.0
BALD_Entropy,BALD,Entropy,43.0,43.0,45.0,48.0,54.0,59.0,62.0,60.0,64.0,63.0,62.0
BALD_Entropy,BALD,Entropy,43.0,42.0,48.0,49.0,55.00000000000001,56.99999999999999,55.00000000000001,57.99999999999999,64.0,64.0,75.0
BALD_Entropy,BALD,Entropy,43.0,54.0,52.0,56.00000000000001,66.0,57.99999999999999,69.0,71.0,69.0,69.0,73.0
BALD_Entropy,BALD,Entropy,43.0,48.0,60.0,68.0,67.0,65.0,64.0,67.0,71.0,67.0,71.0
VAAL_Entropy,VAAL,Entropy,49.0,56.99999999999999,60.0,64.0,68.0,67.0,70.0,75.0,76.0,72.0,73.0
