Method,Init_Method,AL_Method,Episode,run1,run2,run3,run4,run5
Easy-to-Learn_Margin,Easy-to-Learn,Margin,120,79.0,86.0,83.0,78.0,80.0
Consistency_Margin,Consistency,Margin,20,71.0,71.0,71.0,71.0,71.0
Consistency_Margin,Consistency,Margin,30,69.0,77.0,73.0,74.0,72.0
Consistency_Margin,Consistency,Margin,40,66.0,84.0,83.0,75.0,81.0
Consistency_Margin,Consistency,Margin,50,71.0,87.0,81.0,80.0,88.0
Consistency_Margin,Consistency,Margin,60,72.0,89.0,81.0,90.0,86.0
Consistency_Margin,Consistency,Margin,70,77.0,92.0,88.0,89.0,90.0
Consistency_Margin,Consistency,Margin,80,82.0,90.0,91.0,87.0,88.0
Consistency_Margin,Consistency,Margin,90,81.0,91.0,89.0,89.0,90.0
Consistency_Margin,Consistency,Margin,100,83.0,92.0,86.0,92.0,88.0
Consistency_Margin,Consistency,Margin,110,82.0,91.0,85.0,91.0,89.0
Consistency_Margin,Consistency,Margin,120,82.0,92.0,90.0,86.0,88.0
Entropy_Margin,Entropy,Margin,20,50.0,50.0,50.0,50.0,50.0
Entropy_Margin,Entropy,Margin,30,61.0,63.0,54.0,50.0,68.0
Entropy_Margin,Entropy,Margin,40,54.0,81.0,56.99999999999999,57.99999999999999,75.0
Entropy_Margin,Entropy,Margin,50,60.0,82.0,67.0,71.0,78.0
Entropy_Margin,Entropy,Margin,60,82.0,81.0,76.0,83.0,77.0
Entropy_Margin,Entropy,Margin,70,73.0,82.0,71.0,77.0,78.0
Entropy_Margin,Entropy,Margin,80,81.0,86.0,79.0,81.0,79.0
Entropy_Margin,Entropy,Margin,90,84.0,81.0,82.0,84.0,85.0
Entropy_Margin,Entropy,Margin,100,87.0,86.0,86.0,84.0,81.0
Entropy_Margin,Entropy,Margin,110,88.0,85.0,87.0,87.0,87.0
Entropy_Margin,Entropy,Margin,120,89.0,88.0,88.0,88.0,87.0
Margin_Margin,Margin,Margin,20,66.0,66.0,66.0,66.0,66.0
Margin_Margin,Margin,Margin,30,76.0,65.0,68.0,74.0,69.0
Margin_Margin,Margin,Margin,40,79.0,78.0,71.0,72.0,85.0
Margin_Margin,Margin,Margin,50,79.0,84.0,71.0,75.0,85.0
Margin_Margin,Margin,Margin,60,79.0,83.0,72.0,78.0,89.0
Margin_Margin,Margin,Margin,70,80.0,85.0,74.0,77.0,88.0
Margin_Margin,Margin,Margin,80,80.0,85.0,75.0,82.0,89.0
Margin_Margin,Margin,Margin,90,83.0,88.0,78.0,89.0,90.0
Margin_Margin,Margin,Margin,100,88.0,91.0,82.0,90.0,90.0
Margin_Margin,Margin,Margin,110,87.0,88.0,82.0,84.0,92.0
Margin_Margin,Margin,Margin,120,89.0,89.0,80.0,84.0,89.0
BALD_Margin,BALD,Margin,20,42.0,42.0,42.0,42.0,42.0
BALD_Margin,BALD,Margin,30,61.0,57.99999999999999,64.0,64.0,55.00000000000001
BALD_Margin,BALD,Margin,40,63.0,68.0,64.0,60.0,57.99999999999999
BALD_Margin,BALD,Margin,50,72.0,67.0,73.0,67.0,56.00000000000001
BALD_Margin,BALD,Margin,60,71.0,71.0,85.0,69.0,61.0
BALD_Margin,BALD,Margin,70,72.0,84.0,88.0,68.0,72.0
BALD_Margin,BALD,Margin,80,70.0,82.0,88.0,80.0,84.0
BALD_Margin,BALD,Margin,90,78.0,86.0,89.0,81.0,77.0
BALD_Margin,BALD,Margin,100,82.0,88.0,89.0,84.0,83.0
BALD_Margin,BALD,Margin,110,84.0,86.0,88.0,85.0,84.0
BALD_Margin,BALD,Margin,120,88.0,88.0,87.0,84.0,84.0
VAAL_Margin,VAAL,Margin,20,49.0,49.0,49.0,49.0,49.0
VAAL_Margin,VAAL,Margin,30,60.0,65.0,47.0,56.00000000000001,68.0
VAAL_Margin,VAAL,Margin,40,69.0,67.0,52.0,68.0,78.0
VAAL_Margin,VAAL,Margin,50,71.0,73.0,63.0,66.0,74.0
VAAL_Margin,VAAL,Margin,60,74.0,77.0,79.0,68.0,73.0
VAAL_Margin,VAAL,Margin,70,76.0,82.0,79.0,75.0,77.0
VAAL_Margin,VAAL,Margin,80,80.0,85.0,82.0,79.0,77.0
VAAL_Margin,VAAL,Margin,90,83.0,87.0,84.0,79.0,79.0
VAAL_Margin,VAAL,Margin,100,87.0,88.0,84.0,82.0,81.0
VAAL_Margin,VAAL,Margin,110,86.0,88.0,82.0,83.0,83.0
VAAL_Margin,VAAL,Margin,120,87.0,84.0,85.0,82.0,83.0
Coreset_Margin,Coreset,Margin,20,77.0,77.0,77.0,77.0,77.0
Coreset_Margin,Coreset,Margin,30,80.0,82.0,79.0,78.0,84.0
Coreset_Margin,Coreset,Margin,40,78.0,85.0,81.0,82.0,87.0
Coreset_Margin,Coreset,Margin,50,83.0,87.0,83.0,82.0,85.0
Coreset_Margin,Coreset,Margin,60,80.0,84.0,87.0,80.0,83.0
Coreset_Margin,Coreset,Margin,70,80.0,90.0,84.0,83.0,87.0
Coreset_Margin,Coreset,Margin,80,85.0,90.0,85.0,87.0,89.0
Coreset_Margin,Coreset,Margin,90,88.0,87.0,90.0,88.0,90.0
Coreset_Margin,Coreset,Margin,100,89.0,90.0,92.0,89.0,90.0
Coreset_Margin,Coreset,Margin,110,88.0,90.0,91.0,90.0,91.0
Coreset_Margin,Coreset,Margin,120,89.0,89.0,92.0,92.0,87.0
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,20,89.0,89.0,89.0,89.0,89.0
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,30,79.0,87.0,90.0,88.0,82.0
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,40,79.0,87.0,85.0,88.0,84.0
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,50,78.0,83.0,86.0,90.0,89.0
