Method,Init_Method,AL_Method,Episode,TestAccuracy
Consistency_Random,Consistency,Random,110,79.68
Consistency_Random,Consistency,Random,10,39.61
Consistency_Random,Consistency,Random,20,53.99
Consistency_Random,Consistency,Random,30,65.45
Consistency_Random,Consistency,Random,40,67.03
Consistency_Random,Consistency,Random,50,58.64
Consistency_Random,Consistency,Random,60,69.89
Consistency_Random,Consistency,Random,70,72.26
Consistency_Random,Consistency,Random,80,71.35
Consistency_Random,Consistency,Random,90,74.04
Consistency_Random,Consistency,Random,100,75.36
Consistency_Random,Consistency,Random,110,74.22
Consistency_Random,Consistency,Random,10,39.61
Consistency_Random,Consistency,Random,20,54.87
Consistency_Random,Consistency,Random,30,67.52
Consistency_Random,Consistency,Random,40,74.22
Consistency_Random,Consistency,Random,50,71.27
Consistency_Random,Consistency,Random,60,73.98
Consistency_Random,Consistency,Random,70,78.14
Consistency_Random,Consistency,Random,80,80.01
Consistency_Random,Consistency,Random,90,79.13
Consistency_Random,Consistency,Random,100,78.05
Consistency_Random,Consistency,Random,110,79.48
Consistency_Random,Consistency,Random,10,39.61
Consistency_Random,Consistency,Random,20,62.93
Consistency_Random,Consistency,Random,30,65.74
Consistency_Random,Consistency,Random,40,67.17
Consistency_Random,Consistency,Random,50,71.32
Consistency_Random,Consistency,Random,60,72.46
Consistency_Random,Consistency,Random,70,75.83
Consistency_Random,Consistency,Random,80,75.3
Consistency_Random,Consistency,Random,90,77.43
Consistency_Random,Consistency,Random,100,78.49
Consistency_Random,Consistency,Random,110,77.96
Consistency_Random,Consistency,Random,10,39.61
Consistency_Random,Consistency,Random,20,53.29
Consistency_Random,Consistency,Random,30,65.68
Consistency_Random,Consistency,Random,40,70.21
Consistency_Random,Consistency,Random,50,69.31
Consistency_Random,Consistency,Random,60,73.4
Consistency_Random,Consistency,Random,70,74.48
Consistency_Random,Consistency,Random,80,77.58
Consistency_Random,Consistency,Random,90,74.95
Consistency_Random,Consistency,Random,100,76.09
Consistency_Random,Consistency,Random,110,78.98
Entropy_Random,Entropy,Random,10,31.92
Entropy_Random,Entropy,Random,20,45.92
Entropy_Random,Entropy,Random,30,58.61
Entropy_Random,Entropy,Random,40,67.49
Entropy_Random,Entropy,Random,50,69.16
Entropy_Random,Entropy,Random,60,69.19
Entropy_Random,Entropy,Random,70,75.91
Entropy_Random,Entropy,Random,80,73.87
Entropy_Random,Entropy,Random,90,75.91
Entropy_Random,Entropy,Random,100,77.2
Entropy_Random,Entropy,Random,110,77.32
Entropy_Random,Entropy,Random,10,31.92
Entropy_Random,Entropy,Random,20,55.71
Entropy_Random,Entropy,Random,30,65.36
Entropy_Random,Entropy,Random,40,63.96
Entropy_Random,Entropy,Random,50,67.55
Entropy_Random,Entropy,Random,60,68.61
Entropy_Random,Entropy,Random,70,70.27
Entropy_Random,Entropy,Random,80,71.27
Entropy_Random,Entropy,Random,90,73.87
Entropy_Random,Entropy,Random,100,75.21
Entropy_Random,Entropy,Random,110,73.05
Entropy_Random,Entropy,Random,10,31.92
Entropy_Random,Entropy,Random,20,58.52
Entropy_Random,Entropy,Random,30,62.35
Entropy_Random,Entropy,Random,40,66.53
Entropy_Random,Entropy,Random,50,67.93
Entropy_Random,Entropy,Random,60,72.99
Entropy_Random,Entropy,Random,70,73.19
Entropy_Random,Entropy,Random,80,74.39
Entropy_Random,Entropy,Random,90,76.12
Entropy_Random,Entropy,Random,100,75.65
Entropy_Random,Entropy,Random,110,77.26
Entropy_Random,Entropy,Random,10,31.92
Entropy_Random,Entropy,Random,20,43.93
Entropy_Random,Entropy,Random,30,51.8
Entropy_Random,Entropy,Random,40,58.49
Entropy_Random,Entropy,Random,50,64.07
Entropy_Random,Entropy,Random,60,66.82
Entropy_Random,Entropy,Random,70,70.39
Entropy_Random,Entropy,Random,80,71.94
Entropy_Random,Entropy,Random,90,72.29
Entropy_Random,Entropy,Random,100,73.4
Entropy_Random,Entropy,Random,110,76.47
Entropy_Random,Entropy,Random,10,31.92
Entropy_Random,Entropy,Random,20,50.13
Entropy_Random,Entropy,Random,30,61.5
Entropy_Random,Entropy,Random,40,61.71
Entropy_Random,Entropy,Random,50,67.32
Entropy_Random,Entropy,Random,60,69.07
Entropy_Random,Entropy,Random,70,70.71
Entropy_Random,Entropy,Random,80,72.08
