Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
Margin_Random,Margin,Random,32.6,35.42,44.57,41.14,44.79,42.03,46.21,55.95,58.62,55.39,55.67
BALD_Random,BALD,Random,5.31,25.46,35.22,44.36,45.0,43.89,43.68,51.78,54.37,54.64,55.67
BALD_Random,BALD,Random,5.31,28.51,36.94,43.3,53.57,51.21,54.69,60.36,59.68,65.45,67.4
BALD_Random,BALD,Random,5.31,25.97,41.02,41.23,42.37,54.37,54.71,56.63,52.62,51.69,54.18
BALD_Random,BALD,Random,5.31,26.57,38.57,50.33,53.37,58.04,60.6,57.42,56.5,57.31,57.65
BALD_Random,BALD,Random,5.31,10.93,24.65,28.12,28.09,40.43,37.6,36.43,42.27,51.95,54.25
VAAL_Random,VAAL,Random,11.8,40.68,39.64,47.8,55.47,52.74,55.93,54.55,48.7,49.76,51.5
VAAL_Random,VAAL,Random,11.8,20.42,29.04,29.3,34.92,40.43,44.78,47.13,48.89,53.02,51.85
VAAL_Random,VAAL,Random,11.8,21.49,25.84,34.87,52.7,50.74,52.86,52.86,48.37,52.92,50.49
VAAL_Random,VAAL,Random,11.8,34.44,39.14,51.42,51.63,50.7,46.5,40.77,51.38,48.37,46.71
VAAL_Random,VAAL,Random,11.8,39.48,38.05,43.2,45.65,45.0,50.33,49.94,50.03,50.24,49.79
Coreset_Random,Coreset,Random,24.3,37.13,48.68,51.1,54.89,56.09,48.34,62.83,61.23,60.47,62.99
Coreset_Random,Coreset,Random,24.3,43.87,39.26,50.61,56.24,55.93,58.44,60.25,64.81,66.87,65.65
Coreset_Random,Coreset,Random,24.3,29.14,40.18,32.87,39.48,44.64,50.22,52.67,53.57,60.77,61.03
Coreset_Random,Coreset,Random,24.3,39.21,45.46,56.6,53.51,47.84,49.94,60.84,62.27,63.77,62.79
Coreset_Random,Coreset,Random,24.3,37.14,29.26,42.33,41.94,59.29,56.59,56.94,65.52,61.39,58.11
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,38.59,53.61,54.72,53.04,52.44,55.4,47.81,57.17,58.09,57.14,63.43
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,38.59,44.32,50.39,52.17,51.21,55.07,52.2,50.71,52.53,55.52,61.09
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,38.59,38.2,47.41,47.65,50.91,57.58,56.98,61.75,65.0,64.04,59.92
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,38.59,45.4,54.48,57.63,51.31,56.64,49.07,60.95,54.75,55.28,58.69
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,38.59,47.4,51.18,54.51,48.2,48.08,49.92,53.55,53.06,52.02,56.32
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,15.84,20.38,30.33,41.7,42.53,49.44,44.55,48.02,44.6,60.54,64.22
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,15.84,16.03,23.29,26.07,32.08,30.07,33.96,51.56,47.94,47.48,42.55
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,15.84,35.79,35.5,40.5,42.26,49.28,36.88,52.92,50.81,49.0,48.91
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,15.84,18.73,16.92,18.37,30.53,28.25,45.78,34.54,37.13,33.18,48.31
Easy-to-Contrast_Entropy,Easy-to-Contrast,Entropy,15.84,13.3,17.47,28.23,37.31,40.93,44.51,49.62,47.19,46.43,48.02
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,11.8,11.8,11.8,11.8,11.8,25.54,23.09,20.7,29.25,35.4,29.89
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,11.8,11.8,11.8,11.8,11.8,20.63,28.38,27.06,29.3,46.96,48.31
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,11.8,11.8,11.8,11.8,11.8,21.75,22.79,42.73,44.65,43.96,43.87
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,11.8,11.8,11.8,11.8,11.8,11.8,23.8,26.39,42.52,52.4,55.81
Easy-to-Learn_Entropy,Easy-to-Learn,Entropy,11.8,11.8,11.8,11.8,11.8,11.8,24.78,48.06,52.02,50.86,59.44
Consistency_Entropy,Consistency,Entropy,32.65,36.85,46.34,42.88,39.11,47.99,52.34,49.33,50.74,54.48,57.42
Consistency_Entropy,Consistency,Entropy,32.65,39.65,40.21,37.62,43.29,48.2,52.56,42.67,51.34,45.58,42.47
Consistency_Entropy,Consistency,Entropy,32.65,34.08,38.7,45.91,56.7,55.64,54.71,56.89,58.02,54.64,55.86
Consistency_Entropy,Consistency,Entropy,32.65,35.68,39.12,42.33,41.43,47.38,50.72,58.79,50.35,59.01,57.62
Consistency_Entropy,Consistency,Entropy,32.65,37.23,49.82,39.61,42.81,53.01,54.36,57.13,54.64,54.35,55.64
Entropy_Entropy,Entropy,Entropy,4.92,9.83,23.54,34.65,39.74,41.95,43.36,46.0,47.23,46.6,47.91
