Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
BALD_Entropy,BALD,Entropy,25.33,23.77,27.7,44.55,45.17,43.52,46.96,47.45,52.31,51.75,58.97
BALD_Entropy,BALD,Entropy,25.33,31.73,34.01,34.86,36.46,44.59,45.53,52.88,54.55,59.83,61.79
BALD_Entropy,BALD,Entropy,25.33,29.79,28.48,33.64,35.04,34.72,36.98,38.67,42.86,51.75,54.39
BALD_Entropy,BALD,Entropy,25.33,28.25,30.33,31.27,44.36,34.09,38.28,43.0,43.06,49.88,52.95
VAAL_Entropy,VAAL,Entropy,4.46,39.1,38.91,39.99,44.05,44.38,51.25,53.8,57.78,58.85,60.3
VAAL_Entropy,VAAL,Entropy,4.46,32.26,34.89,34.43,39.23,48.52,50.1,51.89,55.74,60.09,62.25
VAAL_Entropy,VAAL,Entropy,4.46,27.46,27.69,27.7,29.56,33.37,43.85,52.4,49.76,53.63,57.18
VAAL_Entropy,VAAL,Entropy,4.46,38.29,40.74,42.69,40.14,44.98,48.07,51.44,51.18,52.38,56.61
VAAL_Entropy,VAAL,Entropy,4.46,28.44,33.97,31.15,35.25,35.83,38.74,41.53,44.84,45.91,49.87
Coreset_Entropy,Coreset,Entropy,24.06,24.55,33.86,37.37,41.87,42.18,50.57,52.01,53.15,55.65,55.97
Coreset_Entropy,Coreset,Entropy,24.06,27.79,22.23,28.3,35.36,33.78,39.64,41.61,39.45,43.64,44.62
Coreset_Entropy,Coreset,Entropy,24.06,25.78,30.84,33.25,34.98,39.94,43.82,44.94,48.27,54.83,56.4
Coreset_Entropy,Coreset,Entropy,24.06,32.36,37.62,38.33,44.72,45.85,47.14,54.95,54.74,55.84,57.55
Coreset_Entropy,Coreset,Entropy,24.06,33.82,35.32,39.05,42.63,46.87,48.32,47.72,51.03,51.46,54.47
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,40.8,45.13,49.29,56.57,56.4,59.75,61.47,65.9,66.28,67.15,68.73
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,40.8,41.87,48.25,55.92,60.29,60.31,60.16,60.43,62.96,67.64,67.04
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,40.8,41.7,53.09,56.61,58.3,62.16,60.6,62.55,65.38,65.94,68.78
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,40.8,45.4,50.42,53.43,57.26,61.45,64.28,65.06,67.68,68.4,70.82
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,40.8,40.71,48.77,54.15,53.2,58.17,59.22,63.55,64.03,63.65,64.2
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,27.63,30.44,38.58,45.73,52.16,53.05,55.16,58.98,62.3,63.93,65.76
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,27.63,50.91,54.1,55.56,56.63,57.23,60.64,63.07,61.32,65.3,65.51
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,27.63,35.17,46.13,51.0,51.68,55.51,61.6,60.42,62.65,63.07,66.85
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,27.63,36.8,40.04,45.71,49.92,52.5,61.96,65.23,64.34,65.75,67.49
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,27.63,41.79,43.4,50.01,53.11,57.8,60.96,64.46,65.06,67.74,68.64
Easy-to-Learn_Margin,Easy-to-Learn,Margin,18.48,25.31,30.05,43.04,47.78,50.67,54.99,59.98,65.23,67.75,69.11
Easy-to-Learn_Margin,Easy-to-Learn,Margin,18.48,25.93,42.96,44.8,56.11,57.01,60.01,60.16,63.78,63.15,65.5
Easy-to-Learn_Margin,Easy-to-Learn,Margin,18.48,31.92,39.91,46.57,49.27,53.88,58.11,59.7,60.12,63.29,64.07
Easy-to-Learn_Margin,Easy-to-Learn,Margin,18.48,20.36,42.65,45.85,50.26,53.09,56.17,57.97,60.67,65.06,65.79
Easy-to-Learn_Margin,Easy-to-Learn,Margin,18.48,33.56,37.72,46.16,50.76,53.46,56.66,59.96,62.88,66.06,69.15
Consistency_Margin,Consistency,Margin,35.45,46.8,52.63,54.66,56.99,59.93,64.95,67.94,67.1,70.16,70.95
Consistency_Margin,Consistency,Margin,35.45,50.05,50.65,56.37,56.79,59.03,60.65,63.03,64.66,66.04,69.03
Consistency_Margin,Consistency,Margin,35.45,49.54,48.46,51.89,56.9,60.22,63.71,65.29,65.65,65.43,67.64
Consistency_Margin,Consistency,Margin,35.45,56.16,54.39,58.43,62.57,63.27,64.11,67.86,67.81,69.29,69.56
Consistency_Margin,Consistency,Margin,35.45,51.04,57.0,56.43,58.17,60.42,60.16,63.44,65.56,67.23,67.59
Entropy_Margin,Entropy,Margin,27.12,32.91,37.61,49.3,53.52,53.21,54.07,54.62,57.5,59.84,63.45
Entropy_Margin,Entropy,Margin,27.12,43.19,49.94,49.17,51.32,54.31,56.68,59.91,62.99,64.06,64.8
Entropy_Margin,Entropy,Margin,27.12,44.43,43.0,53.04,54.73,55.78,57.56,58.92,60.23,62.66,64.43
Entropy_Margin,Entropy,Margin,27.12,35.23,48.14,49.44,51.98,55.17,60.07,59.87,61.77,63.5,61.45
Entropy_Margin,Entropy,Margin,27.12,34.03,50.67,54.84,58.9,58.69,62.05,63.38,64.54,66.17,67.47
Margin_Margin,Margin,Margin,26.26,26.32,43.58,52.29,50.44,57.83,61.15,63.93,65.42,66.0,66.41
Margin_Margin,Margin,Margin,26.26,39.7,50.68,48.38,53.15,57.39,60.95,62.64,63.9,62.92,65.48
Margin_Margin,Margin,Margin,26.26,35.2,40.85,53.66,58.89,60.28,63.08,62.73,64.14,66.48,68.04
Margin_Margin,Margin,Margin,26.26,36.8,42.27,50.05,51.0,51.78,58.0,57.19,62.66,65.69,68.2
Margin_Margin,Margin,Margin,26.26,39.27,43.3,46.96,54.56,55.24,57.6,58.65,61.0,60.73,64.57
BALD_Margin,BALD,Margin,25.33,39.17,42.05,50.06,53.14,59.35,61.17,62.42,65.11,64.69,66.89
BALD_Margin,BALD,Margin,25.33,37.52,48.43,54.68,57.91,62.33,62.16,65.49,65.22,68.13,68.93
BALD_Margin,BALD,Margin,25.33,26.26,33.46,33.68,42.24,48.79,55.08,58.63,62.02,62.72,65.59
BALD_Margin,BALD,Margin,25.33,32.15,35.48,40.18,44.95,47.0,48.28,51.82,58.05,58.85,64.39
BALD_Margin,BALD,Margin,25.33,36.62,43.69,50.34,55.8,59.48,63.25,64.39,66.55,66.3,69.98
VAAL_Margin,VAAL,Margin,4.46,29.35,36.7,39.93,46.01,47.18,51.97,56.83,62.17,61.68,64.5
VAAL_Margin,VAAL,Margin,4.46,18.01,28.2,30.31,42.74,55.93,57.99,58.92,65.39,67.3,67.29
VAAL_Margin,VAAL,Margin,4.46,34.97,41.66,46.68,54.11,57.08,59.55,60.68,63.27,66.71,65.63
VAAL_Margin,VAAL,Margin,4.46,29.01,37.45,43.47,52.42,54.94,56.1,55.88,60.45,63.72,64.8
VAAL_Margin,VAAL,Margin,4.46,29.22,44.59,45.56,46.51,51.41,52.8,55.53,60.5,61.42,63.21
Coreset_Margin,Coreset,Margin,24.06,32.06,43.82,44.98,48.45,53.88,56.37,60.11,63.99,66.23,68.57
Coreset_Margin,Coreset,Margin,24.06,33.23,38.14,48.54,49.18,53.31,58.95,61.32,62.7,61.8,62.78
Coreset_Margin,Coreset,Margin,24.06,23.24,37.29,36.22,45.25,46.48,51.7,53.93,56.81,59.92,63.41
Coreset_Margin,Coreset,Margin,24.06,34.46,39.07,46.48,52.92,58.16,59.78,60.74,63.87,66.49,65.77
Coreset_Margin,Coreset,Margin,24.06,31.41,37.88,48.4,49.74,54.39,57.22,60.0,62.48,66.17,68.92
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,40.8,43.55,51.72,54.9,59.19,61.57,63.67,65.42,65.04,65.6,66.07
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,40.8,42.51,49.96,54.85,55.32,52.33,58.07,59.32,61.52,64.95,67.76
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,40.8,45.11,52.6,50.2,52.99,57.96,57.73,59.19,61.18,64.4,66.96
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,40.8,47.66,54.78,56.83,55.84,55.61,59.16,61.14,64.36,65.59,65.02
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,40.8,46.54,44.22,52.15,56.19,57.98,59.61,62.09,57.15,61.73,60.2
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,27.63,35.67,39.66,41.33,44.13,47.54,45.87,51.34,55.06,56.78,55.65
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,27.63,37.97,37.81,41.55,46.15,47.65,52.45,48.66,52.45,53.44,51.41
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,27.63,38.24,39.53,43.51,45.16,43.6,48.72,58.52,59.37,61.52,59.25
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,27.63,35.65,39.82,42.45,44.93,46.55,47.25,51.43,53.7,61.11,64.03
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,27.63,38.33,38.64,41.78,43.53,44.57,47.64,56.58,58.53,58.71,62.21
Easy-to-Learn_BALD,Easy-to-Learn,BALD,18.48,29.68,33.76,37.81,40.66,42.7,44.76,45.65,47.56,47.91,51.25
Easy-to-Learn_BALD,Easy-to-Learn,BALD,18.48,28.47,31.75,32.65,38.64,40.35,46.37,51.07,53.98,59.74,62.4
Easy-to-Learn_BALD,Easy-to-Learn,BALD,18.48,32.21,32.08,36.46,38.84,39.69,39.16,46.27,52.37,52.49,53.68
Easy-to-Learn_BALD,Easy-to-Learn,BALD,18.48,24.88,28.79,38.34,41.9,46.39,52.26,48.88,54.56,53.73,50.42
Easy-to-Learn_BALD,Easy-to-Learn,BALD,18.48,31.41,30.93,31.45,32.12,40.57,41.77,47.47,49.11,50.31,50.85
Consistency_BALD,Consistency,BALD,35.45,44.13,43.95,46.74,45.76,50.68,50.12,53.75,53.7,57.11,59.91
