Method,Init_Method,AL_Method,Episode,TestAccuracy
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,36.65
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,46.55
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,46.6
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,49.09
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,54.87
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,55.32
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,59.94
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,61.9
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,62.26
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,65.22
Easy-to-Contrast_Random,Easy-to-Contrast,Random,10,27.63
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,32.26
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,49.83
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,52.99
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,51.82
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,53.86
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,58.06
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,58.36
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,59.57
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,61.49
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,63.02
Easy-to-Contrast_Random,Easy-to-Contrast,Random,10,18.48
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,41.33
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,45.57
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,51.38
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,54.24
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,55.1
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,56.52
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,58.08
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,60.25
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,62.79
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,63.89
Easy-to-Contrast_Random,Easy-to-Contrast,Random,10,18.48
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,39.73
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,48.19
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,46.48
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,48.79
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,52.31
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,53.48
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,54.66
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,58.12
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,58.39
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,59.98
Easy-to-Contrast_Random,Easy-to-Contrast,Random,10,18.48
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,35.39
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,40.42
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,49.52
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,50.12
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,52.97
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,55.15
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,56.29
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,58.05
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,61.68
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,63.66
