Method,Init_Method,AL_Method,Episode,TestAccuracy
Easy-to-Learn_Random,Easy-to-Learn,Random,10,56.00000000000001
Easy-to-Learn_Random,Easy-to-Learn,Random,20,77.0
Easy-to-Learn_Random,Easy-to-Learn,Random,30,76.0
Easy-to-Learn_Random,Easy-to-Learn,Random,40,82.0
Easy-to-Learn_Random,Easy-to-Learn,Random,50,86.0
Easy-to-Learn_Random,Easy-to-Learn,Random,60,89.0
Easy-to-Learn_Random,Easy-to-Learn,Random,70,90.0
Easy-to-Learn_Random,Easy-to-Learn,Random,80,90.0
Easy-to-Learn_Random,Easy-to-Learn,Random,90,91.0
Easy-to-Learn_Random,Easy-to-Learn,Random,100,92.0
Easy-to-Learn_Random,Easy-to-Learn,Random,110,92.0
Easy-to-Learn_Random,Easy-to-Learn,Random,10,56.00000000000001
Easy-to-Learn_Random,Easy-to-Learn,Random,20,69.0
Easy-to-Learn_Random,Easy-to-Learn,Random,30,79.0
Easy-to-Learn_Random,Easy-to-Learn,Random,40,85.0
Easy-to-Learn_Random,Easy-to-Learn,Random,50,87.0
Easy-to-Learn_Random,Easy-to-Learn,Random,60,90.0
Easy-to-Learn_Random,Easy-to-Learn,Random,70,90.0
Easy-to-Learn_Random,Easy-to-Learn,Random,80,91.0
Easy-to-Learn_Random,Easy-to-Learn,Random,90,92.0
Easy-to-Learn_Random,Easy-to-Learn,Random,100,92.0
Easy-to-Learn_Random,Easy-to-Learn,Random,110,92.0
Easy-to-Learn_Random,Easy-to-Learn,Random,10,56.00000000000001
Easy-to-Learn_Random,Easy-to-Learn,Random,20,62.0
Easy-to-Learn_Random,Easy-to-Learn,Random,30,79.0
Easy-to-Learn_Random,Easy-to-Learn,Random,40,85.0
Easy-to-Learn_Random,Easy-to-Learn,Random,50,85.0
Easy-to-Learn_Random,Easy-to-Learn,Random,60,87.0
Easy-to-Learn_Random,Easy-to-Learn,Random,70,87.0
Easy-to-Learn_Random,Easy-to-Learn,Random,80,88.0
Easy-to-Learn_Random,Easy-to-Learn,Random,90,88.0
Easy-to-Learn_Random,Easy-to-Learn,Random,100,90.0
Easy-to-Learn_Random,Easy-to-Learn,Random,110,91.0
Easy-to-Learn_Random,Easy-to-Learn,Random,10,56.00000000000001
Easy-to-Learn_Random,Easy-to-Learn,Random,20,57.99999999999999
Easy-to-Learn_Random,Easy-to-Learn,Random,30,71.0
Easy-to-Learn_Random,Easy-to-Learn,Random,40,85.0
Easy-to-Learn_Random,Easy-to-Learn,Random,50,88.0
Easy-to-Learn_Random,Easy-to-Learn,Random,60,88.0
Easy-to-Learn_Random,Easy-to-Learn,Random,70,89.0
Easy-to-Learn_Random,Easy-to-Learn,Random,80,89.0
Easy-to-Learn_Random,Easy-to-Learn,Random,90,91.0
Easy-to-Learn_Random,Easy-to-Learn,Random,100,91.0
Easy-to-Learn_Random,Easy-to-Learn,Random,110,91.0
Easy-to-Learn_Random,Easy-to-Learn,Random,10,56.00000000000001
Easy-to-Learn_Random,Easy-to-Learn,Random,20,70.0
Easy-to-Learn_Random,Easy-to-Learn,Random,30,72.0
Easy-to-Learn_Random,Easy-to-Learn,Random,40,71.0
Easy-to-Learn_Random,Easy-to-Learn,Random,50,73.0
Easy-to-Learn_Random,Easy-to-Learn,Random,60,84.0
Easy-to-Learn_Random,Easy-to-Learn,Random,70,87.0
Easy-to-Learn_Random,Easy-to-Learn,Random,80,90.0
