Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,81.0,91.0,93.0,94.0,95.0,,,,,,
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,81.0,83.0,90.0,92.0,93.0,94.0,94.0,96.0,96.0,96.0,96.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,81.0,83.0,90.0,92.0,92.0,94.0,94.0,93.0,94.0,94.0,95.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,81.0,83.0,89.0,92.0,93.0,93.0,94.0,95.0,96.0,96.0,97.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,81.0,89.0,91.0,94.0,95.0,95.0,95.0,93.0,94.0,95.0,95.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,56.00000000000001,65.0,79.0,85.0,88.0,,,,,,
Easy-to-Learn_Margin,Easy-to-Learn,Margin,56.00000000000001,59.0,75.0,84.0,88.0,91.0,91.0,92.0,93.0,92.0,94.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,56.00000000000001,71.0,82.0,83.0,85.0,88.0,89.0,90.0,92.0,92.0,93.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,56.00000000000001,69.0,72.0,84.0,89.0,,,,,,
Easy-to-Learn_Margin,Easy-to-Learn,Margin,56.00000000000001,64.0,69.0,79.0,88.0,,,,,,
Consistency_Margin,Consistency,Margin,75.0,75.0,79.0,83.0,81.0,85.0,89.0,89.0,88.0,88.0,88.0
Consistency_Margin,Consistency,Margin,75.0,76.0,77.0,87.0,85.0,92.0,93.0,93.0,94.0,94.0,95.0
Consistency_Margin,Consistency,Margin,75.0,78.0,80.0,83.0,81.0,84.0,87.0,86.0,87.0,88.0,94.0
Consistency_Margin,Consistency,Margin,75.0,83.0,92.0,93.0,93.0,,,,,,
Consistency_Margin,Consistency,Margin,75.0,81.0,79.0,84.0,82.0,83.0,88.0,85.0,85.0,85.0,95.0
Entropy_Margin,Entropy,Margin,70.0,78.0,85.0,90.0,90.0,91.0,91.0,94.0,95.0,95.0,94.0
Entropy_Margin,Entropy,Margin,70.0,78.0,89.0,92.0,93.0,94.0,95.0,95.0,95.0,92.0,93.0
Entropy_Margin,Entropy,Margin,70.0,84.0,85.0,87.0,87.0,89.0,93.0,94.0,94.0,95.0,96.0
Entropy_Margin,Entropy,Margin,70.0,87.0,88.0,89.0,90.0,,,,,,
Entropy_Margin,Entropy,Margin,70.0,82.0,89.0,90.0,91.0,,,,,,
Margin_Margin,Margin,Margin,62.0,88.0,89.0,92.0,93.0,93.0,94.0,94.0,94.0,94.0,95.0
Margin_Margin,Margin,Margin,62.0,77.0,89.0,93.0,93.0,,,,,,
Margin_Margin,Margin,Margin,62.0,85.0,86.0,89.0,90.0,,,,,,
Margin_Margin,Margin,Margin,62.0,80.0,84.0,89.0,90.0,90.0,92.0,94.0,95.0,95.0,95.0
Margin_Margin,Margin,Margin,62.0,70.0,77.0,90.0,93.0,,,,,,
BALD_Margin,BALD,Margin,66.0,76.0,88.0,90.0,93.0,,,,,,
BALD_Margin,BALD,Margin,66.0,86.0,85.0,88.0,88.0,90.0,91.0,91.0,93.0,93.0,94.0
BALD_Margin,BALD,Margin,66.0,73.0,75.0,88.0,89.0,90.0,92.0,93.0,94.0,94.0,95.0
BALD_Margin,BALD,Margin,66.0,72.0,81.0,86.0,87.0,88.0,92.0,92.0,94.0,95.0,95.0
BALD_Margin,BALD,Margin,66.0,80.0,85.0,89.0,89.0,,,,,,
VAAL_Margin,VAAL,Margin,56.00000000000001,68.0,68.0,81.0,83.0,88.0,91.0,93.0,93.0,94.0,93.0
VAAL_Margin,VAAL,Margin,56.00000000000001,70.0,75.0,82.0,84.0,,,,,,
VAAL_Margin,VAAL,Margin,56.00000000000001,56.00000000000001,71.0,79.0,77.0,80.0,83.0,90.0,92.0,92.0,93.0
VAAL_Margin,VAAL,Margin,56.00000000000001,74.0,70.0,76.0,81.0,83.0,90.0,91.0,92.0,92.0,93.0
VAAL_Margin,VAAL,Margin,56.00000000000001,63.0,78.0,88.0,89.0,89.0,91.0,90.0,90.0,91.0,92.0
Coreset_Margin,Coreset,Margin,77.0,83.0,91.0,93.0,93.0,93.0,93.0,94.0,94.0,94.0,94.0
Coreset_Margin,Coreset,Margin,77.0,91.0,93.0,93.0,94.0,94.0,94.0,94.0,95.0,96.0,96.0
Coreset_Margin,Coreset,Margin,77.0,91.0,91.0,92.0,94.0,94.0,95.0,96.0,96.0,96.0,96.0
Coreset_Margin,Coreset,Margin,77.0,87.0,91.0,92.0,94.0,94.0,95.0,95.0,96.0,95.0,92.0
Coreset_Margin,Coreset,Margin,77.0,88.0,93.0,93.0,94.0,,,,,,
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,88.0,89.0,92.0,93.0,92.0,94.0,94.0,93.0,95.0,95.0,95.0
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,88.0,88.0,91.0,92.0,91.0,93.0,94.0,94.0,95.0,95.0,95.0
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,88.0,89.0,91.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,96.0
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,88.0,86.0,91.0,90.0,91.0,92.0,94.0,94.0,94.0,94.0,95.0
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,88.0,88.0,90.0,92.0,93.0,94.0,93.0,93.0,94.0,95.0,96.0
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,81.0,81.0,85.0,87.0,89.0,90.0,94.0,93.0,95.0,95.0,96.0
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,81.0,82.0,83.0,89.0,92.0,91.0,93.0,94.0,93.0,94.0,94.0
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,81.0,84.0,87.0,89.0,92.0,93.0,94.0,94.0,92.0,94.0,94.0
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,81.0,81.0,85.0,89.0,91.0,93.0,93.0,94.0,94.0,95.0,95.0
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,81.0,85.0,86.0,85.0,88.0,92.0,92.0,93.0,93.0,94.0,93.0
Easy-to-Learn_BALD,Easy-to-Learn,BALD,56.00000000000001,67.0,65.0,68.0,81.0,83.0,88.0,91.0,90.0,92.0,93.0
Easy-to-Learn_BALD,Easy-to-Learn,BALD,56.00000000000001,57.99999999999999,70.0,73.0,84.0,87.0,85.0,89.0,91.0,93.0,93.0
Easy-to-Learn_BALD,Easy-to-Learn,BALD,56.00000000000001,57.99999999999999,62.0,77.0,85.0,89.0,90.0,91.0,92.0,93.0,93.0
Easy-to-Learn_BALD,Easy-to-Learn,BALD,56.00000000000001,69.0,81.0,87.0,87.0,88.0,89.0,90.0,90.0,91.0,92.0
Easy-to-Learn_BALD,Easy-to-Learn,BALD,56.00000000000001,55.00000000000001,59.0,66.0,76.0,85.0,83.0,85.0,89.0,91.0,92.0
Consistency_BALD,Consistency,BALD,75.0,78.0,82.0,86.0,88.0,92.0,94.0,94.0,95.0,94.0,94.0
Consistency_BALD,Consistency,BALD,75.0,80.0,80.0,89.0,90.0,88.0,92.0,89.0,91.0,89.0,93.0
Consistency_BALD,Consistency,BALD,75.0,76.0,78.0,82.0,91.0,91.0,91.0,91.0,89.0,90.0,90.0
Consistency_BALD,Consistency,BALD,75.0,76.0,83.0,88.0,90.0,87.0,87.0,88.0,89.0,89.0,92.0
Consistency_BALD,Consistency,BALD,75.0,80.0,83.0,86.0,85.0,88.0,89.0,90.0,90.0,89.0,91.0
Entropy_BALD,Entropy,BALD,70.0,82.0,87.0,87.0,87.0,89.0,92.0,90.0,91.0,92.0,94.0
Entropy_BALD,Entropy,BALD,70.0,80.0,84.0,88.0,89.0,91.0,88.0,91.0,93.0,93.0,94.0
Entropy_BALD,Entropy,BALD,70.0,79.0,79.0,81.0,82.0,83.0,83.0,85.0,89.0,92.0,91.0
Entropy_BALD,Entropy,BALD,70.0,76.0,76.0,75.0,78.0,87.0,89.0,90.0,92.0,92.0,92.0
Entropy_BALD,Entropy,BALD,70.0,78.0,76.0,78.0,87.0,86.0,87.0,86.0,89.0,92.0,92.0
Margin_BALD,Margin,BALD,62.0,73.0,79.0,86.0,89.0,92.0,90.0,92.0,93.0,94.0,93.0
Margin_BALD,Margin,BALD,62.0,69.0,73.0,82.0,87.0,89.0,88.0,89.0,91.0,92.0,93.0
Margin_BALD,Margin,BALD,62.0,75.0,78.0,81.0,91.0,92.0,93.0,93.0,93.0,93.0,91.0
Margin_BALD,Margin,BALD,62.0,79.0,78.0,81.0,88.0,88.0,89.0,92.0,92.0,93.0,93.0
Margin_BALD,Margin,BALD,62.0,75.0,78.0,78.0,77.0,80.0,84.0,84.0,90.0,92.0,92.0
BALD_BALD,BALD,BALD,66.0,72.0,86.0,84.0,91.0,92.0,92.0,92.0,93.0,94.0,95.0
BALD_BALD,BALD,BALD,66.0,77.0,79.0,89.0,90.0,88.0,93.0,93.0,95.0,95.0,95.0
BALD_BALD,BALD,BALD,66.0,71.0,76.0,79.0,84.0,87.0,90.0,90.0,92.0,90.0,94.0
BALD_BALD,BALD,BALD,66.0,70.0,76.0,78.0,81.0,88.0,89.0,90.0,94.0,94.0,95.0
BALD_BALD,BALD,BALD,66.0,67.0,71.0,74.0,87.0,90.0,91.0,92.0,93.0,94.0,94.0
VAAL_BALD,VAAL,BALD,56.00000000000001,75.0,84.0,85.0,86.0,88.0,90.0,91.0,92.0,91.0,90.0
VAAL_BALD,VAAL,BALD,56.00000000000001,72.0,75.0,84.0,84.0,86.0,86.0,84.0,86.0,85.0,85.0
VAAL_BALD,VAAL,BALD,56.00000000000001,67.0,69.0,83.0,87.0,88.0,89.0,89.0,91.0,91.0,92.0
VAAL_BALD,VAAL,BALD,56.00000000000001,63.0,71.0,74.0,84.0,86.0,86.0,89.0,90.0,88.0,89.0
VAAL_BALD,VAAL,BALD,56.00000000000001,73.0,71.0,76.0,80.0,89.0,91.0,93.0,94.0,94.0,95.0
Coreset_BALD,Coreset,BALD,77.0,84.0,86.0,93.0,89.0,93.0,93.0,93.0,94.0,94.0,95.0
Coreset_BALD,Coreset,BALD,77.0,86.0,91.0,94.0,94.0,92.0,94.0,91.0,91.0,93.0,93.0
Coreset_BALD,Coreset,BALD,77.0,82.0,90.0,91.0,89.0,92.0,93.0,94.0,95.0,95.0,94.0
Coreset_BALD,Coreset,BALD,77.0,87.0,87.0,93.0,93.0,94.0,94.0,94.0,95.0,96.0,96.0
Coreset_BALD,Coreset,BALD,77.0,84.0,89.0,93.0,95.0,93.0,95.0,95.0,95.0,94.0,94.0
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,88.0,91.0,91.0,92.0,94.0,,,,,,
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,88.0,90.0,89.0,92.0,93.0,93.0,94.0,95.0,95.0,95.0,92.0
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,88.0,89.0,92.0,91.0,93.0,,,,,,
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,88.0,89.0,91.0,93.0,94.0,95.0,96.0,96.0,96.0,96.0,96.0
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,88.0,88.0,91.0,92.0,93.0,93.0,93.0,94.0,95.0,96.0,96.0
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,81.0,87.0,90.0,90.0,91.0,,,,,,
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,81.0,87.0,89.0,91.0,91.0,,,,,,
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,81.0,89.0,90.0,90.0,91.0,92.0,93.0,95.0,95.0,95.0,96.0
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,81.0,84.0,90.0,90.0,92.0,93.0,94.0,94.0,95.0,96.0,96.0
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,81.0,84.0,88.0,94.0,95.0,94.0,95.0,96.0,95.0,96.0,96.0
Easy-to-Learn_Coreset,Easy-to-Learn,Coreset,56.00000000000001,71.0,84.0,84.0,85.0,,,,,,
Easy-to-Learn_Coreset,Easy-to-Learn,Coreset,56.00000000000001,71.0,81.0,88.0,89.0,92.0,93.0,93.0,93.0,94.0,95.0
Easy-to-Learn_Coreset,Easy-to-Learn,Coreset,56.00000000000001,62.0,70.0,75.0,82.0,88.0,92.0,92.0,93.0,94.0,94.0
Easy-to-Learn_Coreset,Easy-to-Learn,Coreset,56.00000000000001,60.0,75.0,80.0,86.0,,,,,,
Consistency_Coreset,Consistency,Coreset,75.0,70.0,86.0,89.0,91.0,,,,,,
Consistency_Coreset,Consistency,Coreset,75.0,80.0,91.0,90.0,91.0,92.0,92.0,94.0,93.0,93.0,95.0
Consistency_Coreset,Consistency,Coreset,75.0,79.0,79.0,90.0,92.0,,,,,,
Consistency_Coreset,Consistency,Coreset,75.0,81.0,80.0,93.0,94.0,92.0,93.0,93.0,94.0,94.0,95.0
Consistency_Coreset,Consistency,Coreset,75.0,75.0,84.0,93.0,93.0,93.0,92.0,94.0,94.0,95.0,96.0
Entropy_Coreset,Entropy,Coreset,70.0,83.0,87.0,91.0,91.0,92.0,93.0,94.0,94.0,94.0,95.0
Entropy_Coreset,Entropy,Coreset,70.0,82.0,84.0,89.0,89.0,,,,,,
Entropy_Coreset,Entropy,Coreset,70.0,80.0,86.0,90.0,91.0,,,,,,
Entropy_Coreset,Entropy,Coreset,70.0,77.0,87.0,88.0,90.0,91.0,93.0,93.0,93.0,93.0,94.0
Entropy_Coreset,Entropy,Coreset,70.0,87.0,88.0,87.0,90.0,91.0,91.0,92.0,93.0,94.0,94.0
Margin_Coreset,Margin,Coreset,62.0,82.0,89.0,91.0,91.0,92.0,92.0,93.0,94.0,94.0,94.0
Margin_Coreset,Margin,Coreset,62.0,83.0,85.0,90.0,91.0,93.0,95.0,95.0,96.0,95.0,95.0
Margin_Coreset,Margin,Coreset,62.0,81.0,90.0,89.0,89.0,88.0,90.0,93.0,93.0,93.0,93.0
Margin_Coreset,Margin,Coreset,62.0,79.0,89.0,91.0,92.0,92.0,93.0,93.0,94.0,94.0,95.0
Margin_Coreset,Margin,Coreset,62.0,80.0,82.0,83.0,93.0,,,,,,
BALD_Coreset,BALD,Coreset,66.0,82.0,88.0,88.0,91.0,92.0,94.0,93.0,93.0,94.0,94.0
