Method,Init_Method,AL_Method,Episode,TestAccuracy
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,89.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,87.0
Easy-to-Learn_Random,Easy-to-Learn,Random,10,41.0
Easy-to-Learn_Random,Easy-to-Learn,Random,20,56.99999999999999
Easy-to-Learn_Random,Easy-to-Learn,Random,30,64.0
Easy-to-Learn_Random,Easy-to-Learn,Random,40,69.0
Easy-to-Learn_Random,Easy-to-Learn,Random,50,72.0
Easy-to-Learn_Random,Easy-to-Learn,Random,60,70.0
Easy-to-Learn_Random,Easy-to-Learn,Random,70,76.0
Easy-to-Learn_Random,Easy-to-Learn,Random,80,76.0
Easy-to-Learn_Random,Easy-to-Learn,Random,90,83.0
Easy-to-Learn_Random,Easy-to-Learn,Random,100,85.0
Easy-to-Learn_Random,Easy-to-Learn,Random,110,85.0
Easy-to-Learn_Random,Easy-to-Learn,Random,10,41.0
Easy-to-Learn_Random,Easy-to-Learn,Random,20,69.0
Easy-to-Learn_Random,Easy-to-Learn,Random,30,80.0
Easy-to-Learn_Random,Easy-to-Learn,Random,40,82.0
Easy-to-Learn_Random,Easy-to-Learn,Random,50,87.0
Easy-to-Learn_Random,Easy-to-Learn,Random,60,86.0
Easy-to-Learn_Random,Easy-to-Learn,Random,70,87.0
Easy-to-Learn_Random,Easy-to-Learn,Random,80,87.0
Easy-to-Learn_Random,Easy-to-Learn,Random,90,86.0
Easy-to-Learn_Random,Easy-to-Learn,Random,100,86.0
Easy-to-Learn_Random,Easy-to-Learn,Random,110,84.0
Easy-to-Learn_Random,Easy-to-Learn,Random,10,41.0
Easy-to-Learn_Random,Easy-to-Learn,Random,20,63.0
Easy-to-Learn_Random,Easy-to-Learn,Random,30,66.0
Easy-to-Learn_Random,Easy-to-Learn,Random,40,72.0
Easy-to-Learn_Random,Easy-to-Learn,Random,50,75.0
Easy-to-Learn_Random,Easy-to-Learn,Random,60,76.0
Easy-to-Learn_Random,Easy-to-Learn,Random,70,78.0
Easy-to-Learn_Random,Easy-to-Learn,Random,80,79.0
Easy-to-Learn_Random,Easy-to-Learn,Random,90,81.0
Easy-to-Learn_Random,Easy-to-Learn,Random,100,81.0
Easy-to-Learn_Random,Easy-to-Learn,Random,110,81.0
Easy-to-Learn_Random,Easy-to-Learn,Random,10,41.0
Easy-to-Learn_Random,Easy-to-Learn,Random,20,60.0
Easy-to-Learn_Random,Easy-to-Learn,Random,30,76.0
Easy-to-Learn_Random,Easy-to-Learn,Random,40,86.0
Easy-to-Learn_Random,Easy-to-Learn,Random,50,86.0
Easy-to-Learn_Random,Easy-to-Learn,Random,60,86.0
Easy-to-Learn_Random,Easy-to-Learn,Random,70,84.0
Easy-to-Learn_Random,Easy-to-Learn,Random,80,81.0
Easy-to-Learn_Random,Easy-to-Learn,Random,90,80.0
Easy-to-Learn_Random,Easy-to-Learn,Random,100,84.0
Easy-to-Learn_Random,Easy-to-Learn,Random,110,87.0
Easy-to-Learn_Random,Easy-to-Learn,Random,10,41.0
Easy-to-Learn_Random,Easy-to-Learn,Random,20,64.0
Easy-to-Learn_Random,Easy-to-Learn,Random,30,70.0
Easy-to-Learn_Random,Easy-to-Learn,Random,40,75.0
Easy-to-Learn_Random,Easy-to-Learn,Random,50,73.0
Easy-to-Learn_Random,Easy-to-Learn,Random,60,78.0
Easy-to-Learn_Random,Easy-to-Learn,Random,70,80.0
Easy-to-Learn_Random,Easy-to-Learn,Random,80,83.0
Easy-to-Learn_Random,Easy-to-Learn,Random,90,83.0
Easy-to-Learn_Random,Easy-to-Learn,Random,100,85.0
Easy-to-Learn_Random,Easy-to-Learn,Random,110,82.0
Consistency_Random,Consistency,Random,10,66.0
Consistency_Random,Consistency,Random,20,70.0
Consistency_Random,Consistency,Random,30,70.0
Consistency_Random,Consistency,Random,40,72.0
Consistency_Random,Consistency,Random,50,79.0
Consistency_Random,Consistency,Random,60,83.0
Consistency_Random,Consistency,Random,70,83.0
Consistency_Random,Consistency,Random,80,85.0
Consistency_Random,Consistency,Random,90,86.0
Consistency_Random,Consistency,Random,100,88.0
Consistency_Random,Consistency,Random,110,82.0
Consistency_Random,Consistency,Random,10,66.0
Consistency_Random,Consistency,Random,20,75.0
Consistency_Random,Consistency,Random,30,84.0
Consistency_Random,Consistency,Random,40,82.0
Consistency_Random,Consistency,Random,50,80.0
Consistency_Random,Consistency,Random,60,81.0
Consistency_Random,Consistency,Random,70,78.0
Consistency_Random,Consistency,Random,80,83.0
Consistency_Random,Consistency,Random,90,87.0
Consistency_Random,Consistency,Random,100,89.0
Consistency_Random,Consistency,Random,110,88.0
Consistency_Random,Consistency,Random,10,66.0
Consistency_Random,Consistency,Random,20,71.0
Consistency_Random,Consistency,Random,30,67.0
Consistency_Random,Consistency,Random,40,72.0
Consistency_Random,Consistency,Random,50,82.0
Consistency_Random,Consistency,Random,60,83.0
Consistency_Random,Consistency,Random,70,84.0
Consistency_Random,Consistency,Random,80,81.0
Consistency_Random,Consistency,Random,90,79.0
Consistency_Random,Consistency,Random,100,85.0
Consistency_Random,Consistency,Random,110,83.0
Consistency_Random,Consistency,Random,10,66.0
Consistency_Random,Consistency,Random,20,73.0
Consistency_Random,Consistency,Random,30,74.0
Consistency_Random,Consistency,Random,40,80.0
Consistency_Random,Consistency,Random,50,78.0
Consistency_Random,Consistency,Random,60,82.0
Consistency_Random,Consistency,Random,70,86.0
Consistency_Random,Consistency,Random,80,86.0
Consistency_Random,Consistency,Random,90,87.0
Consistency_Random,Consistency,Random,100,87.0
Consistency_Random,Consistency,Random,110,86.0
Consistency_Random,Consistency,Random,10,66.0
Consistency_Random,Consistency,Random,20,72.0
Consistency_Random,Consistency,Random,30,81.0
Consistency_Random,Consistency,Random,40,81.0
Consistency_Random,Consistency,Random,50,75.0
Consistency_Random,Consistency,Random,60,83.0
Consistency_Random,Consistency,Random,70,82.0
Consistency_Random,Consistency,Random,80,83.0
Consistency_Random,Consistency,Random,90,87.0
Consistency_Random,Consistency,Random,100,84.0
Consistency_Random,Consistency,Random,110,87.0
Entropy_Random,Entropy,Random,10,51.0
Entropy_Random,Entropy,Random,20,72.0
Entropy_Random,Entropy,Random,30,76.0
Entropy_Random,Entropy,Random,40,77.0
Entropy_Random,Entropy,Random,50,80.0
Entropy_Random,Entropy,Random,60,82.0
Entropy_Random,Entropy,Random,70,79.0
Entropy_Random,Entropy,Random,80,79.0
Entropy_Random,Entropy,Random,90,82.0
Entropy_Random,Entropy,Random,100,80.0
Entropy_Random,Entropy,Random,110,80.0
Entropy_Random,Entropy,Random,10,51.0
Entropy_Random,Entropy,Random,20,67.0
Entropy_Random,Entropy,Random,30,78.0
Entropy_Random,Entropy,Random,40,79.0
Entropy_Random,Entropy,Random,50,83.0
Entropy_Random,Entropy,Random,60,83.0
Entropy_Random,Entropy,Random,70,83.0
Entropy_Random,Entropy,Random,80,82.0
Entropy_Random,Entropy,Random,90,84.0
Entropy_Random,Entropy,Random,100,85.0
Entropy_Random,Entropy,Random,110,83.0
Entropy_Random,Entropy,Random,10,51.0
Entropy_Random,Entropy,Random,20,68.0
Entropy_Random,Entropy,Random,30,76.0
Entropy_Random,Entropy,Random,40,73.0
Entropy_Random,Entropy,Random,50,77.0
Entropy_Random,Entropy,Random,60,80.0
Entropy_Random,Entropy,Random,70,80.0
Entropy_Random,Entropy,Random,80,78.0
Entropy_Random,Entropy,Random,90,84.0
Entropy_Random,Entropy,Random,100,84.0
Entropy_Random,Entropy,Random,110,84.0
Entropy_Random,Entropy,Random,10,51.0
Entropy_Random,Entropy,Random,20,59.0
Entropy_Random,Entropy,Random,30,74.0
Entropy_Random,Entropy,Random,40,78.0
Entropy_Random,Entropy,Random,50,78.0
Entropy_Random,Entropy,Random,60,80.0
Entropy_Random,Entropy,Random,70,85.0
Entropy_Random,Entropy,Random,80,88.0
Entropy_Random,Entropy,Random,90,85.0
Entropy_Random,Entropy,Random,100,88.0
Entropy_Random,Entropy,Random,110,88.0
Entropy_Random,Entropy,Random,10,51.0
Entropy_Random,Entropy,Random,20,57.99999999999999
Entropy_Random,Entropy,Random,30,65.0
Entropy_Random,Entropy,Random,40,71.0
Entropy_Random,Entropy,Random,50,75.0
Entropy_Random,Entropy,Random,60,75.0
Entropy_Random,Entropy,Random,70,77.0
Entropy_Random,Entropy,Random,80,78.0
Entropy_Random,Entropy,Random,90,78.0
Entropy_Random,Entropy,Random,100,78.0
Entropy_Random,Entropy,Random,110,80.0
Margin_Random,Margin,Random,10,67.0
Margin_Random,Margin,Random,20,71.0
Margin_Random,Margin,Random,30,79.0
Margin_Random,Margin,Random,40,82.0
Margin_Random,Margin,Random,50,82.0
Margin_Random,Margin,Random,60,86.0
Margin_Random,Margin,Random,70,86.0
Margin_Random,Margin,Random,80,87.0
Margin_Random,Margin,Random,90,87.0
Margin_Random,Margin,Random,100,87.0
Margin_Random,Margin,Random,110,90.0
Margin_Random,Margin,Random,10,67.0
Margin_Random,Margin,Random,20,71.0
Margin_Random,Margin,Random,30,79.0
Margin_Random,Margin,Random,40,83.0
Margin_Random,Margin,Random,50,80.0
Margin_Random,Margin,Random,60,80.0
Margin_Random,Margin,Random,70,82.0
Margin_Random,Margin,Random,80,84.0
Margin_Random,Margin,Random,90,87.0
Margin_Random,Margin,Random,100,88.0
Margin_Random,Margin,Random,110,87.0
Margin_Random,Margin,Random,10,67.0
Margin_Random,Margin,Random,20,75.0
Margin_Random,Margin,Random,30,80.0
Margin_Random,Margin,Random,40,82.0
Margin_Random,Margin,Random,50,83.0
Margin_Random,Margin,Random,60,84.0
Margin_Random,Margin,Random,70,83.0
Margin_Random,Margin,Random,80,85.0
Margin_Random,Margin,Random,90,85.0
Margin_Random,Margin,Random,100,87.0
Margin_Random,Margin,Random,110,86.0
Margin_Random,Margin,Random,10,67.0
Margin_Random,Margin,Random,20,75.0
Margin_Random,Margin,Random,30,74.0
Margin_Random,Margin,Random,40,72.0
Margin_Random,Margin,Random,50,76.0
Margin_Random,Margin,Random,60,79.0
Margin_Random,Margin,Random,70,77.0
Margin_Random,Margin,Random,80,83.0
Margin_Random,Margin,Random,90,81.0
Margin_Random,Margin,Random,100,83.0
Margin_Random,Margin,Random,110,85.0
Margin_Random,Margin,Random,10,67.0
Margin_Random,Margin,Random,20,76.0
Margin_Random,Margin,Random,30,81.0
Margin_Random,Margin,Random,40,80.0
Margin_Random,Margin,Random,50,77.0
Margin_Random,Margin,Random,60,73.0
Margin_Random,Margin,Random,70,76.0
Margin_Random,Margin,Random,80,80.0
Margin_Random,Margin,Random,90,84.0
Margin_Random,Margin,Random,100,82.0
Margin_Random,Margin,Random,110,83.0
BALD_Random,BALD,Random,10,43.0
BALD_Random,BALD,Random,20,61.0
BALD_Random,BALD,Random,30,70.0
BALD_Random,BALD,Random,40,75.0
BALD_Random,BALD,Random,50,79.0
BALD_Random,BALD,Random,60,78.0
BALD_Random,BALD,Random,70,78.0
BALD_Random,BALD,Random,80,80.0
BALD_Random,BALD,Random,90,85.0
BALD_Random,BALD,Random,100,83.0
BALD_Random,BALD,Random,110,82.0
BALD_Random,BALD,Random,10,43.0
BALD_Random,BALD,Random,20,62.0
BALD_Random,BALD,Random,30,68.0
BALD_Random,BALD,Random,40,77.0
BALD_Random,BALD,Random,50,85.0
BALD_Random,BALD,Random,60,82.0
BALD_Random,BALD,Random,70,83.0
BALD_Random,BALD,Random,80,87.0
BALD_Random,BALD,Random,90,87.0
BALD_Random,BALD,Random,100,85.0
BALD_Random,BALD,Random,110,86.0
BALD_Random,BALD,Random,10,43.0
BALD_Random,BALD,Random,20,63.0
BALD_Random,BALD,Random,30,75.0
BALD_Random,BALD,Random,40,77.0
BALD_Random,BALD,Random,50,75.0
BALD_Random,BALD,Random,60,83.0
BALD_Random,BALD,Random,70,83.0
BALD_Random,BALD,Random,80,82.0
BALD_Random,BALD,Random,90,84.0
BALD_Random,BALD,Random,100,83.0
BALD_Random,BALD,Random,110,86.0
BALD_Random,BALD,Random,10,43.0
BALD_Random,BALD,Random,20,70.0
BALD_Random,BALD,Random,30,73.0
BALD_Random,BALD,Random,40,80.0
BALD_Random,BALD,Random,50,82.0
BALD_Random,BALD,Random,60,83.0
BALD_Random,BALD,Random,70,80.0
BALD_Random,BALD,Random,80,81.0
BALD_Random,BALD,Random,90,77.0
BALD_Random,BALD,Random,100,77.0
BALD_Random,BALD,Random,110,83.0
BALD_Random,BALD,Random,10,43.0
BALD_Random,BALD,Random,20,53.0
BALD_Random,BALD,Random,30,66.0
BALD_Random,BALD,Random,40,66.0
BALD_Random,BALD,Random,50,70.0
BALD_Random,BALD,Random,60,72.0
BALD_Random,BALD,Random,70,73.0
BALD_Random,BALD,Random,80,69.0
BALD_Random,BALD,Random,90,82.0
BALD_Random,BALD,Random,100,83.0
BALD_Random,BALD,Random,110,85.0
VAAL_Random,VAAL,Random,10,49.0
VAAL_Random,VAAL,Random,20,60.0
VAAL_Random,VAAL,Random,30,66.0
VAAL_Random,VAAL,Random,40,80.0
VAAL_Random,VAAL,Random,50,83.0
VAAL_Random,VAAL,Random,60,81.0
VAAL_Random,VAAL,Random,70,82.0
VAAL_Random,VAAL,Random,80,83.0
VAAL_Random,VAAL,Random,90,83.0
VAAL_Random,VAAL,Random,100,82.0
VAAL_Random,VAAL,Random,110,82.0
VAAL_Random,VAAL,Random,10,49.0
VAAL_Random,VAAL,Random,20,59.0
VAAL_Random,VAAL,Random,30,68.0
VAAL_Random,VAAL,Random,40,68.0
VAAL_Random,VAAL,Random,50,73.0
VAAL_Random,VAAL,Random,60,72.0
VAAL_Random,VAAL,Random,70,80.0
VAAL_Random,VAAL,Random,80,82.0
VAAL_Random,VAAL,Random,90,83.0
VAAL_Random,VAAL,Random,100,85.0
VAAL_Random,VAAL,Random,110,85.0
VAAL_Random,VAAL,Random,10,49.0
VAAL_Random,VAAL,Random,20,62.0
VAAL_Random,VAAL,Random,30,71.0
VAAL_Random,VAAL,Random,40,71.0
VAAL_Random,VAAL,Random,50,79.0
VAAL_Random,VAAL,Random,60,78.0
VAAL_Random,VAAL,Random,70,81.0
VAAL_Random,VAAL,Random,80,81.0
VAAL_Random,VAAL,Random,90,85.0
VAAL_Random,VAAL,Random,100,84.0
VAAL_Random,VAAL,Random,110,83.0
VAAL_Random,VAAL,Random,10,49.0
VAAL_Random,VAAL,Random,20,73.0
VAAL_Random,VAAL,Random,30,75.0
VAAL_Random,VAAL,Random,40,78.0
VAAL_Random,VAAL,Random,50,77.0
VAAL_Random,VAAL,Random,60,80.0
VAAL_Random,VAAL,Random,70,79.0
VAAL_Random,VAAL,Random,80,79.0
VAAL_Random,VAAL,Random,90,78.0
VAAL_Random,VAAL,Random,100,76.0
VAAL_Random,VAAL,Random,110,75.0
VAAL_Random,VAAL,Random,10,49.0
VAAL_Random,VAAL,Random,20,64.0
VAAL_Random,VAAL,Random,30,75.0
VAAL_Random,VAAL,Random,40,77.0
VAAL_Random,VAAL,Random,50,80.0
VAAL_Random,VAAL,Random,60,79.0
VAAL_Random,VAAL,Random,70,83.0
VAAL_Random,VAAL,Random,80,82.0
VAAL_Random,VAAL,Random,90,83.0
VAAL_Random,VAAL,Random,100,83.0
VAAL_Random,VAAL,Random,110,82.0
Coreset_Random,Coreset,Random,10,66.0
Coreset_Random,Coreset,Random,20,75.0
Coreset_Random,Coreset,Random,30,78.0
Coreset_Random,Coreset,Random,40,79.0
Coreset_Random,Coreset,Random,50,80.0
Coreset_Random,Coreset,Random,60,85.0
Coreset_Random,Coreset,Random,70,81.0
Coreset_Random,Coreset,Random,80,80.0
Coreset_Random,Coreset,Random,90,84.0
Coreset_Random,Coreset,Random,100,84.0
Coreset_Random,Coreset,Random,110,86.0
Coreset_Random,Coreset,Random,10,66.0
Coreset_Random,Coreset,Random,20,77.0
Coreset_Random,Coreset,Random,30,73.0
Coreset_Random,Coreset,Random,40,75.0
Coreset_Random,Coreset,Random,50,82.0
Coreset_Random,Coreset,Random,60,84.0
Coreset_Random,Coreset,Random,70,82.0
Coreset_Random,Coreset,Random,80,84.0
Coreset_Random,Coreset,Random,90,83.0
Coreset_Random,Coreset,Random,100,85.0
Coreset_Random,Coreset,Random,110,87.0
Coreset_Random,Coreset,Random,10,66.0
Coreset_Random,Coreset,Random,20,75.0
Coreset_Random,Coreset,Random,30,80.0
Coreset_Random,Coreset,Random,40,79.0
Coreset_Random,Coreset,Random,50,81.0
Coreset_Random,Coreset,Random,60,79.0
Coreset_Random,Coreset,Random,70,83.0
Coreset_Random,Coreset,Random,80,84.0
Coreset_Random,Coreset,Random,90,83.0
Coreset_Random,Coreset,Random,100,89.0
Coreset_Random,Coreset,Random,110,87.0
Coreset_Random,Coreset,Random,10,66.0
Coreset_Random,Coreset,Random,20,73.0
Coreset_Random,Coreset,Random,30,79.0
Coreset_Random,Coreset,Random,40,84.0
Coreset_Random,Coreset,Random,50,83.0
Coreset_Random,Coreset,Random,60,83.0
Coreset_Random,Coreset,Random,70,84.0
Coreset_Random,Coreset,Random,80,85.0
Coreset_Random,Coreset,Random,90,88.0
Coreset_Random,Coreset,Random,100,87.0
Coreset_Random,Coreset,Random,110,87.0
Coreset_Random,Coreset,Random,10,66.0
Coreset_Random,Coreset,Random,20,71.0
Coreset_Random,Coreset,Random,30,72.0
Coreset_Random,Coreset,Random,40,78.0
Coreset_Random,Coreset,Random,50,78.0
Coreset_Random,Coreset,Random,60,84.0
Coreset_Random,Coreset,Random,70,88.0
Coreset_Random,Coreset,Random,80,87.0
Coreset_Random,Coreset,Random,90,89.0
Coreset_Random,Coreset,Random,100,86.0
Coreset_Random,Coreset,Random,110,86.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,10,80.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,20,86.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,30,89.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,40,85.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,50,83.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,60,86.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,70,78.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,80,87.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,90,86.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,100,79.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,110,83.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,10,80.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,20,85.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,30,86.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,40,87.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,50,85.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,60,87.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,70,83.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,80,78.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,90,81.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,100,83.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,110,86.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,10,80.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,20,79.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,30,81.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,40,83.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,50,84.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,60,88.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,70,85.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,80,89.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,90,83.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,100,90.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,110,87.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,10,80.0
Hard-to-Contrast_Entropy,Hard-to-Contrast,Entropy,20,84.0
