Method,Init_Method,AL_Method,Episode,TestAccuracy
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,75.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,76.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,79.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,81.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,81.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,86.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,84.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,87.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,87.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,86.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,10,66.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,71.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,74.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,81.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,85.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,86.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,86.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,87.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,90.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,90.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,88.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,10,66.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,82.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,82.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,79.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,88.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,84.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,85.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,85.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,86.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,87.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,85.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,10,66.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,74.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,73.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,70.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,76.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,82.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,86.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,84.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,86.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,100,87.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,110,86.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,10,66.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,20,62.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,30,74.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,40,76.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,50,84.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,60,82.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,70,87.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,80,86.0
Easy-to-Contrast_Random,Easy-to-Contrast,Random,90,88.0
