Method,Init_Method,AL_Method,Episode,TestAccuracy
Easy-to-Learn_Random,Easy-to-Learn,Random,10,18.48
Easy-to-Learn_Random,Easy-to-Learn,Random,20,41.33
Easy-to-Learn_Random,Easy-to-Learn,Random,30,45.57
Easy-to-Learn_Random,Easy-to-Learn,Random,40,51.38
Easy-to-Learn_Random,Easy-to-Learn,Random,50,54.24
Easy-to-Learn_Random,Easy-to-Learn,Random,60,55.1
Easy-to-Learn_Random,Easy-to-Learn,Random,70,56.52
Easy-to-Learn_Random,Easy-to-Learn,Random,80,58.08
Easy-to-Learn_Random,Easy-to-Learn,Random,90,60.25
Easy-to-Learn_Random,Easy-to-Learn,Random,100,62.79
Easy-to-Learn_Random,Easy-to-Learn,Random,110,63.89
Easy-to-Learn_Random,Easy-to-Learn,Random,10,18.48
Easy-to-Learn_Random,Easy-to-Learn,Random,20,36.71
Easy-to-Learn_Random,Easy-to-Learn,Random,30,36.1
Easy-to-Learn_Random,Easy-to-Learn,Random,40,52.72
Easy-to-Learn_Random,Easy-to-Learn,Random,50,53.45
Easy-to-Learn_Random,Easy-to-Learn,Random,60,54.51
Easy-to-Learn_Random,Easy-to-Learn,Random,70,54.03
Easy-to-Learn_Random,Easy-to-Learn,Random,80,57.44
Easy-to-Learn_Random,Easy-to-Learn,Random,90,59.11
Easy-to-Learn_Random,Easy-to-Learn,Random,100,62.26
Easy-to-Learn_Random,Easy-to-Learn,Random,110,65.44
Easy-to-Learn_Random,Easy-to-Learn,Random,10,18.48
Easy-to-Learn_Random,Easy-to-Learn,Random,20,30.67
Easy-to-Learn_Random,Easy-to-Learn,Random,30,41.14
Easy-to-Learn_Random,Easy-to-Learn,Random,40,44.32
Easy-to-Learn_Random,Easy-to-Learn,Random,50,50.31
Easy-to-Learn_Random,Easy-to-Learn,Random,60,50.43
Easy-to-Learn_Random,Easy-to-Learn,Random,70,53.04
Easy-to-Learn_Random,Easy-to-Learn,Random,80,58.04
Easy-to-Learn_Random,Easy-to-Learn,Random,90,56.9
Easy-to-Learn_Random,Easy-to-Learn,Random,100,58.44
Easy-to-Learn_Random,Easy-to-Learn,Random,110,60.5
Easy-to-Learn_Random,Easy-to-Learn,Random,10,18.48
Easy-to-Learn_Random,Easy-to-Learn,Random,20,39.73
Easy-to-Learn_Random,Easy-to-Learn,Random,30,48.19
Easy-to-Learn_Random,Easy-to-Learn,Random,40,46.48
Easy-to-Learn_Random,Easy-to-Learn,Random,50,48.79
Easy-to-Learn_Random,Easy-to-Learn,Random,60,52.31
Easy-to-Learn_Random,Easy-to-Learn,Random,70,53.48
Easy-to-Learn_Random,Easy-to-Learn,Random,80,54.66
Easy-to-Learn_Random,Easy-to-Learn,Random,90,58.12
Easy-to-Learn_Random,Easy-to-Learn,Random,100,58.39
Easy-to-Learn_Random,Easy-to-Learn,Random,110,59.98
Easy-to-Learn_Random,Easy-to-Learn,Random,10,18.48
Easy-to-Learn_Random,Easy-to-Learn,Random,20,35.39
Easy-to-Learn_Random,Easy-to-Learn,Random,30,40.42
Easy-to-Learn_Random,Easy-to-Learn,Random,40,49.52
Easy-to-Learn_Random,Easy-to-Learn,Random,50,50.12
Easy-to-Learn_Random,Easy-to-Learn,Random,60,52.97
Easy-to-Learn_Random,Easy-to-Learn,Random,70,55.15
Easy-to-Learn_Random,Easy-to-Learn,Random,80,56.29
Easy-to-Learn_Random,Easy-to-Learn,Random,90,58.05
Easy-to-Learn_Random,Easy-to-Learn,Random,100,61.68
Easy-to-Learn_Random,Easy-to-Learn,Random,110,63.66
Consistency_Random,Consistency,Random,10,35.45
Consistency_Random,Consistency,Random,20,48.84
Consistency_Random,Consistency,Random,30,50.43
Consistency_Random,Consistency,Random,40,56.68
Consistency_Random,Consistency,Random,50,55.7
Consistency_Random,Consistency,Random,60,58.35
Consistency_Random,Consistency,Random,70,61.73
Consistency_Random,Consistency,Random,80,61.56
Consistency_Random,Consistency,Random,90,61.91
Consistency_Random,Consistency,Random,100,63.79
Consistency_Random,Consistency,Random,110,65.56
Consistency_Random,Consistency,Random,10,35.45
Consistency_Random,Consistency,Random,20,40.93
Consistency_Random,Consistency,Random,30,51.82
Consistency_Random,Consistency,Random,40,54.46
Consistency_Random,Consistency,Random,50,58.08
Consistency_Random,Consistency,Random,60,58.39
Consistency_Random,Consistency,Random,70,62.49
Consistency_Random,Consistency,Random,80,61.28
Consistency_Random,Consistency,Random,90,63.16
Consistency_Random,Consistency,Random,100,64.02
Consistency_Random,Consistency,Random,110,65.24
Consistency_Random,Consistency,Random,10,35.45
Consistency_Random,Consistency,Random,20,48.0
Consistency_Random,Consistency,Random,30,51.4
Consistency_Random,Consistency,Random,40,59.95
Consistency_Random,Consistency,Random,50,59.99
Consistency_Random,Consistency,Random,60,62.73
Consistency_Random,Consistency,Random,70,64.18
Consistency_Random,Consistency,Random,80,63.98
Consistency_Random,Consistency,Random,90,64.11
Consistency_Random,Consistency,Random,100,64.26
Consistency_Random,Consistency,Random,110,65.65
Consistency_Random,Consistency,Random,10,35.45
Consistency_Random,Consistency,Random,20,45.84
Consistency_Random,Consistency,Random,30,53.06
Consistency_Random,Consistency,Random,40,52.11
Consistency_Random,Consistency,Random,50,53.19
Consistency_Random,Consistency,Random,60,53.2
Consistency_Random,Consistency,Random,70,56.06
Consistency_Random,Consistency,Random,80,58.17
Consistency_Random,Consistency,Random,90,59.65
Consistency_Random,Consistency,Random,100,61.28
Consistency_Random,Consistency,Random,110,63.5
