Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
BALD_Margin,BALD,Margin,56.00000000000001,69.0,83.0,83.0,85.0,87.0,87.0,90.0,90.0,91.0,92.0
BALD_Margin,BALD,Margin,56.00000000000001,65.0,70.0,70.0,71.0,83.0,85.0,86.0,87.0,88.0,89.0
BALD_Margin,BALD,Margin,56.00000000000001,64.0,74.0,76.0,79.0,82.0,83.0,85.0,86.0,87.0,89.0
BALD_Margin,BALD,Margin,56.00000000000001,70.0,79.0,85.0,86.0,87.0,88.0,90.0,91.0,91.0,92.0
VAAL_Margin,VAAL,Margin,56.99999999999999,56.00000000000001,66.0,70.0,72.0,76.0,82.0,82.0,87.0,88.0,88.0
VAAL_Margin,VAAL,Margin,56.99999999999999,53.0,59.0,59.0,71.0,75.0,76.0,79.0,89.0,90.0,91.0
VAAL_Margin,VAAL,Margin,56.99999999999999,62.0,70.0,77.0,82.0,82.0,83.0,84.0,86.0,88.0,89.0
VAAL_Margin,VAAL,Margin,56.99999999999999,56.00000000000001,63.0,69.0,81.0,85.0,86.0,87.0,88.0,89.0,89.0
VAAL_Margin,VAAL,Margin,56.99999999999999,69.0,74.0,80.0,81.0,82.0,84.0,85.0,87.0,87.0,88.0
Coreset_Margin,Coreset,Margin,63.0,62.0,71.0,72.0,73.0,79.0,78.0,83.0,89.0,90.0,90.0
Coreset_Margin,Coreset,Margin,63.0,69.0,69.0,68.0,75.0,78.0,77.0,77.0,80.0,78.0,80.0
Coreset_Margin,Coreset,Margin,63.0,59.0,65.0,66.0,74.0,73.0,75.0,77.0,81.0,86.0,87.0
Coreset_Margin,Coreset,Margin,63.0,65.0,72.0,75.0,77.0,79.0,81.0,83.0,86.0,87.0,86.0
Coreset_Margin,Coreset,Margin,63.0,59.0,59.0,67.0,68.0,76.0,76.0,82.0,86.0,88.0,90.0
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,76.0,80.0,83.0,87.0,89.0,90.0,89.0,90.0,90.0,90.0,90.0
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,76.0,79.0,81.0,85.0,85.0,85.0,86.0,88.0,89.0,89.0,90.0
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,76.0,79.0,85.0,84.0,85.0,86.0,87.0,87.0,89.0,89.0,90.0
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,76.0,79.0,83.0,85.0,85.0,85.0,86.0,87.0,88.0,88.0,87.0
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,76.0,81.0,80.0,83.0,84.0,86.0,85.0,87.0,86.0,86.0,86.0
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,65.0,67.0,69.0,73.0,76.0,76.0,78.0,79.0,80.0,81.0,83.0
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,65.0,69.0,69.0,75.0,75.0,82.0,84.0,84.0,86.0,88.0,84.0
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,65.0,68.0,71.0,72.0,73.0,69.0,75.0,79.0,81.0,83.0,84.0
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,65.0,69.0,71.0,75.0,74.0,75.0,73.0,81.0,83.0,86.0,89.0
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,65.0,69.0,71.0,72.0,72.0,77.0,80.0,82.0,84.0,84.0,85.0
Easy-to-Learn_BALD,Easy-to-Learn,BALD,49.0,60.0,61.0,66.0,67.0,74.0,75.0,80.0,80.0,78.0,80.0
Easy-to-Learn_BALD,Easy-to-Learn,BALD,49.0,59.0,57.99999999999999,66.0,69.0,70.0,73.0,75.0,77.0,78.0,84.0
Easy-to-Learn_BALD,Easy-to-Learn,BALD,49.0,65.0,70.0,67.0,74.0,77.0,75.0,79.0,86.0,86.0,88.0
Easy-to-Learn_BALD,Easy-to-Learn,BALD,49.0,55.00000000000001,59.0,68.0,68.0,72.0,76.0,78.0,80.0,79.0,78.0
Easy-to-Learn_BALD,Easy-to-Learn,BALD,49.0,57.99999999999999,62.0,59.0,61.0,70.0,76.0,78.0,79.0,82.0,83.0
Consistency_BALD,Consistency,BALD,70.0,72.0,75.0,75.0,74.0,79.0,80.0,82.0,81.0,81.0,87.0
Consistency_BALD,Consistency,BALD,70.0,71.0,73.0,74.0,76.0,80.0,81.0,81.0,83.0,84.0,86.0
Consistency_BALD,Consistency,BALD,70.0,69.0,73.0,78.0,81.0,83.0,83.0,84.0,84.0,86.0,87.0
Consistency_BALD,Consistency,BALD,70.0,70.0,76.0,77.0,80.0,79.0,81.0,83.0,86.0,87.0,87.0
Consistency_BALD,Consistency,BALD,70.0,70.0,79.0,80.0,84.0,86.0,88.0,87.0,88.0,88.0,90.0
Entropy_BALD,Entropy,BALD,56.00000000000001,64.0,69.0,70.0,71.0,80.0,80.0,86.0,88.0,89.0,89.0
Entropy_BALD,Entropy,BALD,56.00000000000001,60.0,64.0,67.0,73.0,76.0,80.0,80.0,81.0,84.0,84.0
Entropy_BALD,Entropy,BALD,56.00000000000001,59.0,63.0,64.0,70.0,78.0,80.0,82.0,82.0,83.0,83.0
Entropy_BALD,Entropy,BALD,56.00000000000001,64.0,68.0,70.0,71.0,79.0,79.0,80.0,82.0,83.0,84.0
Entropy_BALD,Entropy,BALD,56.00000000000001,59.0,67.0,69.0,72.0,75.0,76.0,76.0,80.0,86.0,86.0
Margin_BALD,Margin,BALD,56.00000000000001,69.0,71.0,71.0,74.0,84.0,84.0,83.0,85.0,89.0,88.0
Margin_BALD,Margin,BALD,56.00000000000001,65.0,68.0,75.0,84.0,84.0,84.0,85.0,85.0,88.0,88.0
Margin_BALD,Margin,BALD,56.00000000000001,63.0,66.0,72.0,74.0,78.0,80.0,81.0,83.0,86.0,85.0
Margin_BALD,Margin,BALD,56.00000000000001,63.0,66.0,70.0,79.0,79.0,78.0,80.0,80.0,83.0,83.0
Margin_BALD,Margin,BALD,56.00000000000001,66.0,67.0,77.0,74.0,80.0,80.0,82.0,83.0,85.0,86.0
BALD_BALD,BALD,BALD,56.00000000000001,53.0,61.0,67.0,71.0,79.0,84.0,85.0,87.0,88.0,88.0
BALD_BALD,BALD,BALD,56.00000000000001,59.0,61.0,67.0,64.0,65.0,67.0,69.0,78.0,80.0,81.0
BALD_BALD,BALD,BALD,56.00000000000001,56.99999999999999,64.0,65.0,70.0,74.0,74.0,77.0,77.0,81.0,81.0
BALD_BALD,BALD,BALD,56.00000000000001,56.99999999999999,66.0,66.0,75.0,75.0,76.0,80.0,79.0,81.0,81.0
