Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
BALD_Entropy,BALD,Entropy,28.12,38.67,46.57,52.91,55.39,58.99,71.41,72.05,74.54,75.1,77.73
BALD_Entropy,BALD,Entropy,28.12,47.44,53.32,57.85,61.47,,,,,,
VAAL_Entropy,VAAL,Entropy,13.74,31.25,38.18,50.16,56.5,,,,,,
VAAL_Entropy,VAAL,Entropy,13.74,33.73,43.12,49.93,58.2,,,,,,
VAAL_Entropy,VAAL,Entropy,13.74,36.63,38.97,45.54,61.39,63.55,68.11,73.02,74.13,75.68,76.21
VAAL_Entropy,VAAL,Entropy,13.74,26.69,33.97,47.76,54.66,,,,,,
VAAL_Entropy,VAAL,Entropy,13.74,42.09,41.04,51.07,51.21,,,,,,
Coreset_Entropy,Coreset,Entropy,36.6,50.98,57.79,65.36,64.37,,,,,,
Coreset_Entropy,Coreset,Entropy,36.6,51.83,61.71,65.54,69.92,73.4,74.54,76.62,77.49,78.08,80.12
Coreset_Entropy,Coreset,Entropy,36.6,49.17,65.45,66.33,73.84,74.89,78.72,79.54,79.22,80.8,81.03
Coreset_Entropy,Coreset,Entropy,36.6,57.38,49.52,65.36,70.36,,,,,,
Coreset_Entropy,Coreset,Entropy,36.6,54.63,61.44,65.89,72.14,72.46,75.15,74.45,76.24,75.3,77.58
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,63.08,71.12,69.31,73.6,76.73,77.67,78.63,79.48,80.65,81.09,80.15
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,63.08,69.19,68.55,72.41,72.84,76.03,76.85,78.05,78.52,80.42,81.47
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,63.08,65.42,69.77,71.59,76.06,,,,,,
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,63.08,67.49,72.84,73.81,76.12,77.84,78.43,78.78,79.77,80.33,81.76
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,63.08,71.47,67.79,72.2,72.52,77.43,74.77,76.91,72.0,80.06,81.32
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,45.13,64.69,71.53,75.18,75.48,,,,,,
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,45.13,62.06,65.65,71.0,74.16,76.85,77.05,81.03,81.44,82.67,83.28
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,45.13,58.75,67.35,69.34,69.34,73.78,73.52,74.66,73.81,77.81,79.3
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,45.13,63.87,65.39,72.05,73.55,74.31,76.09,78.43,80.91,79.45,81.73
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,45.13,63.34,68.58,73.75,76.32,77.58,77.58,73.69,79.25,81.29,80.12
Easy-to-Learn_Margin,Easy-to-Learn,Margin,18.24,35.14,46.42,64.4,67.06,,,,,,
Easy-to-Learn_Margin,Easy-to-Learn,Margin,18.24,37.07,49.11,51.33,57.47,64.28,70.86,72.61,73.57,76.59,78.84
Easy-to-Learn_Margin,Easy-to-Learn,Margin,18.24,36.8,57.76,54.34,60.04,64.86,66.88,70.1,74.39,77.96,78.78
Easy-to-Learn_Margin,Easy-to-Learn,Margin,18.24,46.89,50.69,54.22,61.3,,,,,,
Easy-to-Learn_Margin,Easy-to-Learn,Margin,18.24,31.69,48.14,58.46,64.89,,,,,,
Consistency_Margin,Consistency,Margin,39.61,44.99,55.07,61.27,61.97,65.8,66.09,66.85,67.49,68.25,67.85
Consistency_Margin,Consistency,Margin,39.61,53.55,56.21,60.19,59.75,63.9,68.17,70.53,78.02,78.63,78.95
Consistency_Margin,Consistency,Margin,39.61,53.23,57.09,56.42,59.16,63.96,65.8,67.11,67.47,66.91,68.9
Consistency_Margin,Consistency,Margin,39.61,53.0,70.21,75.27,76.44,,,,,,
Consistency_Margin,Consistency,Margin,39.61,55.6,55.48,60.33,61.85,62.91,64.4,65.36,65.92,66.53,68.78
Entropy_Margin,Entropy,Margin,31.92,38.21,52.18,60.77,61.21,67.58,69.04,76.38,78.34,78.54,78.75
Entropy_Margin,Entropy,Margin,31.92,48.55,63.43,68.63,71.27,74.63,77.46,78.95,79.39,79.71,77.78
Entropy_Margin,Entropy,Margin,31.92,49.9,51.48,58.37,63.14,65.68,67.09,67.79,74.22,79.71,81.5
Entropy_Margin,Entropy,Margin,31.92,57.99,59.43,59.57,61.97,,,,,,
Entropy_Margin,Entropy,Margin,31.92,53.99,61.53,64.81,71.47,,,,,,
Margin_Margin,Margin,Margin,28.85,52.82,56.8,68.49,73.28,74.74,75.59,78.14,77.08,79.51,80.15
Margin_Margin,Margin,Margin,28.85,48.73,58.08,68.75,72.03,,,,,,
Margin_Margin,Margin,Margin,28.85,54.37,58.75,63.72,70.91,,,,,,
Margin_Margin,Margin,Margin,28.85,48.41,52.41,57.03,66.06,71.79,76.5,78.84,79.6,79.13,78.11
Margin_Margin,Margin,Margin,28.85,37.62,45.86,64.25,69.22,,,,,,
BALD_Margin,BALD,Margin,28.12,39.93,56.71,61.62,71.38,,,,,,
BALD_Margin,BALD,Margin,28.12,59.81,61.56,66.21,67.87,69.66,73.37,73.46,76.12,77.32,76.67
BALD_Margin,BALD,Margin,28.12,42.21,49.4,57.26,64.92,71.38,72.93,75.04,77.38,79.95,80.59
BALD_Margin,BALD,Margin,28.12,37.24,46.51,61.41,62.73,66.62,70.39,73.78,76.29,77.96,78.14
BALD_Margin,BALD,Margin,28.12,51.1,57.09,66.94,70.42,,,,,,
VAAL_Margin,VAAL,Margin,13.74,27.27,40.72,45.78,52.32,55.71,63.61,69.07,73.66,76.21,72.9
VAAL_Margin,VAAL,Margin,13.74,47.15,41.48,59.87,64.6,,,,,,
VAAL_Margin,VAAL,Margin,13.74,22.51,44.78,55.31,58.9,61.44,65.51,72.03,73.37,76.29,75.94
VAAL_Margin,VAAL,Margin,13.74,29.26,44.58,53.35,62.76,67.14,68.87,71.53,75.15,76.21,77.52
VAAL_Margin,VAAL,Margin,13.74,28.38,36.89,56.09,66.3,69.54,72.38,72.32,73.93,75.94,76.82
Coreset_Margin,Coreset,Margin,36.6,55.33,64.43,74.13,74.66,76.03,77.35,79.28,79.1,79.48,81.56
Coreset_Margin,Coreset,Margin,36.6,64.54,69.6,75.21,76.76,78.14,76.76,78.22,79.51,80.62,82.02
Coreset_Margin,Coreset,Margin,36.6,64.22,67.73,69.77,72.81,76.38,80.18,80.71,81.7,83.78,83.89
Coreset_Margin,Coreset,Margin,36.6,59.81,64.19,72.32,77.05,75.86,77.78,79.71,81.15,79.86,72.46
Coreset_Margin,Coreset,Margin,36.6,63.17,69.51,73.46,75.97,,,,,,
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,63.08,62.99,67.61,73.19,68.31,73.17,71.85,69.95,73.81,74.74,78.52
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,63.08,62.91,62.58,67.64,69.01,70.74,74.71,76.0,80.04,78.6,79.6
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,63.08,62.03,68.96,70.94,75.5,75.65,76.32,78.34,81.82,80.74,82.81
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,63.08,61.21,65.54,64.16,63.64,68.11,71.38,72.03,72.99,74.86,75.71
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,63.08,64.69,58.05,69.31,67.73,70.1,76.32,75.86,77.93,78.87,78.6
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,45.13,50.63,49.23,56.3,55.86,61.18,66.62,66.76,74.8,78.19,81.2
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,45.13,54.6,56.15,63.78,71.53,70.94,75.91,77.32,74.95,76.18,76.06
